"Date","Price","Open","High","Low","Vol.","Change %"
"15-12-2020","13,567.85","13,547.20","13,589.65","13,447.05","497.60M","0.07%"
"14-12-2020","13,558.15","13,571.45","13,597.50","13,472.45","558.39M","0.33%"
"11-12-2020","13,513.85","13,512.30","13,579.35","13,402.85","787.71M","0.26%"
"10-12-2020","13,478.30","13,488.50","13,503.55","13,399.30","553.40M","-0.38%"
"09-12-2020","13,529.10","13,458.10","13,548.90","13,449.60","502.60M","1.02%"
"08-12-2020","13,392.95","13,393.85","13,435.45","13,311.05","543.16M","0.28%"
"07-12-2020","13,355.75","13,264.85","13,366.65","13,241.95","591.72M","0.73%"
"04-12-2020","13,258.55","13,177.40","13,280.05","13,152.85","640.51M","0.95%"
"03-12-2020","13,133.90","13,215.30","13,216.60","13,107.90","713.69M","0.15%"
"02-12-2020","13,113.75","13,121.40","13,128.50","12,983.55","717.71M","0.04%"
"01-12-2020","13,109.05","13,062.20","13,128.40","12,962.80","583.63M","1.08%"
"27-11-2020","12,968.95","13,012.05","13,035.30","12,914.30","1.16B","-0.14%"
"26-11-2020","12,987.00","12,906.45","13,018.00","12,790.40","549.80M","1.00%"
"25-11-2020","12,858.40","13,130.00","13,145.85","12,833.65","679.01M","-1.51%"
"24-11-2020","13,055.15","13,002.60","13,079.10","12,978.00","571.87M","1.00%"
"23-11-2020","12,926.45","12,960.30","12,968.85","12,825.70","633.12M","0.52%"
"20-11-2020","12,859.05","12,813.40","12,892.45","12,730.25","664.00M","0.68%"
"19-11-2020","12,771.70","12,839.50","12,963.00","12,745.75","768.75M","-1.29%"
"18-11-2020","12,938.25","12,860.10","12,948.85","12,819.35","731.32M","0.50%"
"17-11-2020","12,874.20","12,932.50","12,934.05","12,797.10","707.68M","0.74%"
"14-11-2020","12,780.25","12,823.35","12,828.70","12,749.45","107.87M","0.47%"
"13-11-2020","12,719.95","12,659.70","12,735.95","12,607.70","513.95M","0.23%"
"12-11-2020","12,690.80","12,702.15","12,741.15","12,624.85","622.02M","-0.46%"
"11-11-2020","12,749.15","12,680.60","12,769.75","12,571.10","880.48M","0.93%"
"10-11-2020","12,631.10","12,556.40","12,643.90","12,475.25","847.45M","1.36%"
"09-11-2020","12,461.05","12,399.40","12,474.05","12,367.35","553.45M","1.61%"
"06-11-2020","12,263.55","12,156.65","12,280.40","12,131.85","576.84M","1.18%"
"05-11-2020","12,120.30","12,062.40","12,131.10","12,027.60","632.45M","1.78%"
"04-11-2020","11,908.50","11,783.35","11,929.65","11,756.40","667.29M","0.80%"
"03-11-2020","11,813.50","11,734.45","11,836.20","11,723.30","674.30M","1.24%"
"02-11-2020","11,669.15","11,697.35","11,725.65","11,557.40","568.43M","0.23%"
